trial_index,ratio,std_side,response,keypress,rt_sec,correct
1,0.9,right,0,j,0.5608,1
2,0.9,right,0,j,0.9438,1
3,0.9,right,0,j,0.6547,1
4,0.9,left,0,f,0.4311,1
5,0.9,right,0,j,0.7092,1
6,0.9,left,0,f,0.5396,1
7,0.9,left,0,f,1.1091,1
8,0.9,left,0,f,0.6328,1
9,0.9,left,0,f,0.7061,1
10,0.9,right,0,j,0.5617,1
11,0.9,left,0,f,0.6672,1
12,0.9,left,0,f,0.523,1
13,0.95,left,0,f,0.7974,1
14,0.95,left,0,f,0.3071,1
15,0.95,right,0,j,0.4027,1
16,0.95,left,0,f,0.7087,1
17,0.95,left,0,f,0.8122,1
18,0.95,right,1,f,0.7702,0
19,0.95,right,0,j,0.5336,1
20,0.95,right,0,j,0.4472,1
21,0.95,left,0,f,1.0993,1
22,0.95,right,0,j,0.5024,1
23,0.95,right,0,j,0.6179,1
24,0.95,left,0,f,0.7414,1
25,0.98,right,0,j,0.7771,1
26,0.98,left,1,j,0.5207,0
27,0.98,right,0,j,0.9347,1
28,0.98,right,1,f,0.4545,0
29,0.98,right,0,j,0.6518,1
30,0.98,left,0,f,0.5705,1
31,0.98,left,1,j,0.6277,0
32,0.98,right,1,f,0.8835,0
33,0.98,left,0,f,0.6759,1
34,0.98,right,0,j,0.397,1
35,0.98,left,0,f,1.223,1
36,0.98,left,0,f,0.5435,1
37,1.0,right,0,j,0.7793,1
38,1.0,left,1,j,0.6105,1
39,1.0,right,0,j,0.7146,1
40,1.0,left,1,j,0.6017,1
41,1.0,right,1,f,1.0316,1
42,1.0,left,1,j,0.7126,1
43,1.0,right,1,f,0.8402,1
44,1.0,right,1,f,0.8996,1
45,1.0,left,0,f,0.4949,1
46,1.0,right,0,j,0.2311,1
47,1.0,left,1,j,0.6367,1
48,1.0,left,0,f,0.5452,1
49,1.02,right,1,f,0.4971,1
50,1.02,left,1,j,0.7256,1
51,1.02,left,0,f,0.4557,0
52,1.02,right,1,f,0.911,1
53,1.02,left,1,j,0.3383,1
54,1.02,right,1,f,0.3673,1
55,1.02,left,1,j,0.5103,1
56,1.02,left,1,j,0.7076,1
57,1.02,right,1,f,0.424,1
58,1.02,right,0,j,0.5682,0
59,1.02,right,1,f,1.198,1
60,1.02,left,0,f,0.523,0
61,1.05,right,1,f,0.4225,1
62,1.05,right,1,f,0.7862,1
63,1.05,left,1,j,0.3209,1
64,1.05,right,0,j,0.2909,0
65,1.05,left,1,j,0.5331,1
66,1.05,right,1,f,0.5461,1
67,1.05,left,1,j,0.7593,1
68,1.05,left,0,f,0.6298,0
69,1.05,left,1,j,0.6078,1
70,1.05,left,1,j,0.8614,1
71,1.05,right,1,f,0.6171,1
72,1.05,left,1,j,0.3474,1
73,1.1,left,1,j,0.567,1
74,1.1,right,1,f,0.6748,1
75,1.1,right,1,f,0.498,1
76,1.1,right,1,f,0.6198,1
77,1.1,right,1,f,0.3787,1
78,1.1,left,1,j,0.7458,1
79,1.1,left,1,j,0.5425,1
80,1.1,left,1,j,0.4748,1
81,1.1,right,1,f,0.7224,1
82,1.1,left,1,j,0.4365,1
83,1.1,left,1,j,0.564,1
84,1.1,left,1,j,0.5221,1
